# Generated from Unicode 17.0.0 GraphemeBreakTest.txt
# Distributed under the Unicode License v3; see UNICODE-LICENSE
nagi-fixture-v1	text-grapheme-break
unicode-0144	text=\u{94D}\u{308}\u{AC01}	boundaries=0,5,8
unicode-0145	text=\u{94D}\u{915}	boundaries=0,3,6
unicode-0146	text=\u{94D}\u{308}\u{915}	boundaries=0,5,8
unicode-0147	text=\u{94D}\u{A9}	boundaries=0,3,5
unicode-0148	text=\u{94D}\u{308}\u{A9}	boundaries=0,5,7
unicode-0149	text=\u{94D}\u{20}	boundaries=0,3,4
unicode-0150	text=\u{94D}\u{308}\u{20}	boundaries=0,5,6
unicode-0151	text=\u{94D}\u{378}	boundaries=0,3,5
unicode-0152	text=\u{94D}\u{308}\u{378}	boundaries=0,5,7
unicode-0153	text=\u{300}\u{D}	boundaries=0,2,3
unicode-0154	text=\u{300}\u{308}\u{D}	boundaries=0,4,5
unicode-0155	text=\u{300}\u{A}	boundaries=0,2,3
unicode-0156	text=\u{300}\u{308}\u{A}	boundaries=0,4,5
unicode-0157	text=\u{300}\u{0}	boundaries=0,2,3
unicode-0158	text=\u{300}\u{308}\u{0}	boundaries=0,4,5
unicode-0159	text=\u{300}\u{94D}	boundaries=0,5
unicode-0160	text=\u{300}\u{308}\u{94D}	boundaries=0,7
unicode-0161	text=\u{300}\u{300}	boundaries=0,4
unicode-0162	text=\u{300}\u{308}\u{300}	boundaries=0,6
unicode-0163	text=\u{300}\u{200C}	boundaries=0,5
unicode-0164	text=\u{300}\u{308}\u{200C}	boundaries=0,7
unicode-0165	text=\u{300}\u{200D}	boundaries=0,5
unicode-0166	text=\u{300}\u{308}\u{200D}	boundaries=0,7
unicode-0167	text=\u{300}\u{1F1E6}	boundaries=0,2,6
unicode-0168	text=\u{300}\u{308}\u{1F1E6}	boundaries=0,4,8
unicode-0169	text=\u{300}\u{6DD}	boundaries=0,2,4
unicode-0170	text=\u{300}\u{308}\u{6DD}	boundaries=0,4,6
unicode-0171	text=\u{300}\u{903}	boundaries=0,5
unicode-0172	text=\u{300}\u{308}\u{903}	boundaries=0,7
unicode-0173	text=\u{300}\u{1100}	boundaries=0,2,5
unicode-0174	text=\u{300}\u{308}\u{1100}	boundaries=0,4,7
unicode-0175	text=\u{300}\u{1160}	boundaries=0,2,5
unicode-0176	text=\u{300}\u{308}\u{1160}	boundaries=0,4,7
unicode-0177	text=\u{300}\u{11A8}	boundaries=0,2,5
unicode-0178	text=\u{300}\u{308}\u{11A8}	boundaries=0,4,7
unicode-0179	text=\u{300}\u{AC00}	boundaries=0,2,5
unicode-0180	text=\u{300}\u{308}\u{AC00}	boundaries=0,4,7
unicode-0181	text=\u{300}\u{AC01}	boundaries=0,2,5
unicode-0182	text=\u{300}\u{308}\u{AC01}	boundaries=0,4,7
unicode-0183	text=\u{300}\u{915}	boundaries=0,2,5
unicode-0184	text=\u{300}\u{308}\u{915}	boundaries=0,4,7
unicode-0185	text=\u{300}\u{A9}	boundaries=0,2,4
unicode-0186	text=\u{300}\u{308}\u{A9}	boundaries=0,4,6
unicode-0187	text=\u{300}\u{20}	boundaries=0,2,3
unicode-0188	text=\u{300}\u{308}\u{20}	boundaries=0,4,5
unicode-0189	text=\u{300}\u{378}	boundaries=0,2,4
unicode-0190	text=\u{300}\u{308}\u{378}	boundaries=0,4,6
unicode-0191	text=\u{200C}\u{D}	boundaries=0,3,4
unicode-0192	text=\u{200C}\u{308}\u{D}	boundaries=0,5,6
unicode-0193	text=\u{200C}\u{A}	boundaries=0,3,4
unicode-0194	text=\u{200C}\u{308}\u{A}	boundaries=0,5,6
unicode-0195	text=\u{200C}\u{0}	boundaries=0,3,4
unicode-0196	text=\u{200C}\u{308}\u{0}	boundaries=0,5,6
unicode-0197	text=\u{200C}\u{94D}	boundaries=0,6
unicode-0198	text=\u{200C}\u{308}\u{94D}	boundaries=0,8
unicode-0199	text=\u{200C}\u{300}	boundaries=0,5
unicode-0200	text=\u{200C}\u{308}\u{300}	boundaries=0,7
unicode-0201	text=\u{200C}\u{200C}	boundaries=0,6
unicode-0202	text=\u{200C}\u{308}\u{200C}	boundaries=0,8
unicode-0203	text=\u{200C}\u{200D}	boundaries=0,6
unicode-0204	text=\u{200C}\u{308}\u{200D}	boundaries=0,8
unicode-0205	text=\u{200C}\u{1F1E6}	boundaries=0,3,7
unicode-0206	text=\u{200C}\u{308}\u{1F1E6}	boundaries=0,5,9
unicode-0207	text=\u{200C}\u{6DD}	boundaries=0,3,5
unicode-0208	text=\u{200C}\u{308}\u{6DD}	boundaries=0,5,7
unicode-0209	text=\u{200C}\u{903}	boundaries=0,6
unicode-0210	text=\u{200C}\u{308}\u{903}	boundaries=0,8
unicode-0211	text=\u{200C}\u{1100}	boundaries=0,3,6
unicode-0212	text=\u{200C}\u{308}\u{1100}	boundaries=0,5,8
unicode-0213	text=\u{200C}\u{1160}	boundaries=0,3,6
unicode-0214	text=\u{200C}\u{308}\u{1160}	boundaries=0,5,8
unicode-0215	text=\u{200C}\u{11A8}	boundaries=0,3,6
unicode-0216	text=\u{200C}\u{308}\u{11A8}	boundaries=0,5,8
unicode-0217	text=\u{200C}\u{AC00}	boundaries=0,3,6
unicode-0218	text=\u{200C}\u{308}\u{AC00}	boundaries=0,5,8
unicode-0219	text=\u{200C}\u{AC01}	boundaries=0,3,6
unicode-0220	text=\u{200C}\u{308}\u{AC01}	boundaries=0,5,8
unicode-0221	text=\u{200C}\u{915}	boundaries=0,3,6
unicode-0222	text=\u{200C}\u{308}\u{915}	boundaries=0,5,8
unicode-0223	text=\u{200C}\u{A9}	boundaries=0,3,5
unicode-0224	text=\u{200C}\u{308}\u{A9}	boundaries=0,5,7
unicode-0225	text=\u{200C}\u{20}	boundaries=0,3,4
unicode-0226	text=\u{200C}\u{308}\u{20}	boundaries=0,5,6
unicode-0227	text=\u{200C}\u{378}	boundaries=0,3,5
unicode-0228	text=\u{200C}\u{308}\u{378}	boundaries=0,5,7
unicode-0229	text=\u{200D}\u{D}	boundaries=0,3,4
unicode-0230	text=\u{200D}\u{308}\u{D}	boundaries=0,5,6
unicode-0231	text=\u{200D}\u{A}	boundaries=0,3,4
unicode-0232	text=\u{200D}\u{308}\u{A}	boundaries=0,5,6
unicode-0233	text=\u{200D}\u{0}	boundaries=0,3,4
unicode-0234	text=\u{200D}\u{308}\u{0}	boundaries=0,5,6
unicode-0235	text=\u{200D}\u{94D}	boundaries=0,6
unicode-0236	text=\u{200D}\u{308}\u{94D}	boundaries=0,8
unicode-0237	text=\u{200D}\u{300}	boundaries=0,5
unicode-0238	text=\u{200D}\u{308}\u{300}	boundaries=0,7
unicode-0239	text=\u{200D}\u{200C}	boundaries=0,6
unicode-0240	text=\u{200D}\u{308}\u{200C}	boundaries=0,8
unicode-0241	text=\u{200D}\u{200D}	boundaries=0,6
unicode-0242	text=\u{200D}\u{308}\u{200D}	boundaries=0,8
unicode-0243	text=\u{200D}\u{1F1E6}	boundaries=0,3,7
unicode-0244	text=\u{200D}\u{308}\u{1F1E6}	boundaries=0,5,9
unicode-0245	text=\u{200D}\u{6DD}	boundaries=0,3,5
unicode-0246	text=\u{200D}\u{308}\u{6DD}	boundaries=0,5,7
unicode-0247	text=\u{200D}\u{903}	boundaries=0,6
unicode-0248	text=\u{200D}\u{308}\u{903}	boundaries=0,8
unicode-0249	text=\u{200D}\u{1100}	boundaries=0,3,6
unicode-0250	text=\u{200D}\u{308}\u{1100}	boundaries=0,5,8
unicode-0251	text=\u{200D}\u{1160}	boundaries=0,3,6
unicode-0252	text=\u{200D}\u{308}\u{1160}	boundaries=0,5,8
unicode-0253	text=\u{200D}\u{11A8}	boundaries=0,3,6
unicode-0254	text=\u{200D}\u{308}\u{11A8}	boundaries=0,5,8
unicode-0255	text=\u{200D}\u{AC00}	boundaries=0,3,6
unicode-0256	text=\u{200D}\u{308}\u{AC00}	boundaries=0,5,8
unicode-0257	text=\u{200D}\u{AC01}	boundaries=0,3,6
unicode-0258	text=\u{200D}\u{308}\u{AC01}	boundaries=0,5,8
unicode-0259	text=\u{200D}\u{915}	boundaries=0,3,6
unicode-0260	text=\u{200D}\u{308}\u{915}	boundaries=0,5,8
unicode-0261	text=\u{200D}\u{A9}	boundaries=0,3,5
unicode-0262	text=\u{200D}\u{308}\u{A9}	boundaries=0,5,7
unicode-0263	text=\u{200D}\u{20}	boundaries=0,3,4
unicode-0264	text=\u{200D}\u{308}\u{20}	boundaries=0,5,6
unicode-0265	text=\u{200D}\u{378}	boundaries=0,3,5
unicode-0266	text=\u{200D}\u{308}\u{378}	boundaries=0,5,7
unicode-0267	text=\u{1F1E6}\u{D}	boundaries=0,4,5
unicode-0268	text=\u{1F1E6}\u{308}\u{D}	boundaries=0,6,7
unicode-0269	text=\u{1F1E6}\u{A}	boundaries=0,4,5
unicode-0270	text=\u{1F1E6}\u{308}\u{A}	boundaries=0,6,7
unicode-0271	text=\u{1F1E6}\u{0}	boundaries=0,4,5
unicode-0272	text=\u{1F1E6}\u{308}\u{0}	boundaries=0,6,7
unicode-0273	text=\u{1F1E6}\u{94D}	boundaries=0,7
unicode-0274	text=\u{1F1E6}\u{308}\u{94D}	boundaries=0,9
unicode-0275	text=\u{1F1E6}\u{300}	boundaries=0,6
unicode-0276	text=\u{1F1E6}\u{308}\u{300}	boundaries=0,8
unicode-0277	text=\u{1F1E6}\u{200C}	boundaries=0,7
unicode-0278	text=\u{1F1E6}\u{308}\u{200C}	boundaries=0,9
unicode-0279	text=\u{1F1E6}\u{200D}	boundaries=0,7
unicode-0280	text=\u{1F1E6}\u{308}\u{200D}	boundaries=0,9
unicode-0281	text=\u{1F1E6}\u{1F1E6}	boundaries=0,8
unicode-0282	text=\u{1F1E6}\u{308}\u{1F1E6}	boundaries=0,6,10
unicode-0283	text=\u{1F1E6}\u{6DD}	boundaries=0,4,6
unicode-0284	text=\u{1F1E6}\u{308}\u{6DD}	boundaries=0,6,8
unicode-0285	text=\u{1F1E6}\u{903}	boundaries=0,7
unicode-0286	text=\u{1F1E6}\u{308}\u{903}	boundaries=0,9
unicode-0287	text=\u{1F1E6}\u{1100}	boundaries=0,4,7
unicode-0288	text=\u{1F1E6}\u{308}\u{1100}	boundaries=0,6,9
unicode-0289	text=\u{1F1E6}\u{1160}	boundaries=0,4,7
unicode-0290	text=\u{1F1E6}\u{308}\u{1160}	boundaries=0,6,9
unicode-0291	text=\u{1F1E6}\u{11A8}	boundaries=0,4,7
unicode-0292	text=\u{1F1E6}\u{308}\u{11A8}	boundaries=0,6,9
unicode-0293	text=\u{1F1E6}\u{AC00}	boundaries=0,4,7
unicode-0294	text=\u{1F1E6}\u{308}\u{AC00}	boundaries=0,6,9
unicode-0295	text=\u{1F1E6}\u{AC01}	boundaries=0,4,7
unicode-0296	text=\u{1F1E6}\u{308}\u{AC01}	boundaries=0,6,9
unicode-0297	text=\u{1F1E6}\u{915}	boundaries=0,4,7
unicode-0298	text=\u{1F1E6}\u{308}\u{915}	boundaries=0,6,9
unicode-0299	text=\u{1F1E6}\u{A9}	boundaries=0,4,6
unicode-0300	text=\u{1F1E6}\u{308}\u{A9}	boundaries=0,6,8
unicode-0301	text=\u{1F1E6}\u{20}	boundaries=0,4,5
unicode-0302	text=\u{1F1E6}\u{308}\u{20}	boundaries=0,6,7
unicode-0303	text=\u{1F1E6}\u{378}	boundaries=0,4,6
unicode-0304	text=\u{1F1E6}\u{308}\u{378}	boundaries=0,6,8
unicode-0305	text=\u{6DD}\u{D}	boundaries=0,2,3
unicode-0306	text=\u{6DD}\u{308}\u{D}	boundaries=0,4,5
unicode-0307	text=\u{6DD}\u{A}	boundaries=0,2,3
unicode-0308	text=\u{6DD}\u{308}\u{A}	boundaries=0,4,5
unicode-0309	text=\u{6DD}\u{0}	boundaries=0,2,3
unicode-0310	text=\u{6DD}\u{308}\u{0}	boundaries=0,4,5
unicode-0311	text=\u{6DD}\u{94D}	boundaries=0,5
unicode-0312	text=\u{6DD}\u{308}\u{94D}	boundaries=0,7
unicode-0313	text=\u{6DD}\u{300}	boundaries=0,4
unicode-0314	text=\u{6DD}\u{308}\u{300}	boundaries=0,6
unicode-0315	text=\u{6DD}\u{200C}	boundaries=0,5
unicode-0316	text=\u{6DD}\u{308}\u{200C}	boundaries=0,7
unicode-0317	text=\u{6DD}\u{200D}	boundaries=0,5
unicode-0318	text=\u{6DD}\u{308}\u{200D}	boundaries=0,7
unicode-0319	text=\u{6DD}\u{1F1E6}	boundaries=0,6
unicode-0320	text=\u{6DD}\u{308}\u{1F1E6}	boundaries=0,4,8
unicode-0321	text=\u{6DD}\u{6DD}	boundaries=0,4
unicode-0322	text=\u{6DD}\u{308}\u{6DD}	boundaries=0,4,6
unicode-0323	text=\u{6DD}\u{903}	boundaries=0,5
unicode-0324	text=\u{6DD}\u{308}\u{903}	boundaries=0,7
unicode-0325	text=\u{6DD}\u{1100}	boundaries=0,5
unicode-0326	text=\u{6DD}\u{308}\u{1100}	boundaries=0,4,7
unicode-0327	text=\u{6DD}\u{1160}	boundaries=0,5
unicode-0328	text=\u{6DD}\u{308}\u{1160}	boundaries=0,4,7
unicode-0329	text=\u{6DD}\u{11A8}	boundaries=0,5
unicode-0330	text=\u{6DD}\u{308}\u{11A8}	boundaries=0,4,7
unicode-0331	text=\u{6DD}\u{AC00}	boundaries=0,5
unicode-0332	text=\u{6DD}\u{308}\u{AC00}	boundaries=0,4,7
unicode-0333	text=\u{6DD}\u{AC01}	boundaries=0,5
unicode-0334	text=\u{6DD}\u{308}\u{AC01}	boundaries=0,4,7
unicode-0335	text=\u{6DD}\u{915}	boundaries=0,5
unicode-0336	text=\u{6DD}\u{308}\u{915}	boundaries=0,4,7
unicode-0337	text=\u{6DD}\u{A9}	boundaries=0,4
unicode-0338	text=\u{6DD}\u{308}\u{A9}	boundaries=0,4,6
unicode-0339	text=\u{6DD}\u{20}	boundaries=0,3
unicode-0340	text=\u{6DD}\u{308}\u{20}	boundaries=0,4,5
unicode-0341	text=\u{6DD}\u{378}	boundaries=0,4
unicode-0342	text=\u{6DD}\u{308}\u{378}	boundaries=0,4,6
unicode-0343	text=\u{903}\u{D}	boundaries=0,3,4
unicode-0344	text=\u{903}\u{308}\u{D}	boundaries=0,5,6
unicode-0345	text=\u{903}\u{A}	boundaries=0,3,4
unicode-0346	text=\u{903}\u{308}\u{A}	boundaries=0,5,6
unicode-0347	text=\u{903}\u{0}	boundaries=0,3,4
unicode-0348	text=\u{903}\u{308}\u{0}	boundaries=0,5,6
unicode-0349	text=\u{903}\u{94D}	boundaries=0,6
unicode-0350	text=\u{903}\u{308}\u{94D}	boundaries=0,8
unicode-0351	text=\u{903}\u{300}	boundaries=0,5
unicode-0352	text=\u{903}\u{308}\u{300}	boundaries=0,7
unicode-0353	text=\u{903}\u{200C}	boundaries=0,6
unicode-0354	text=\u{903}\u{308}\u{200C}	boundaries=0,8
unicode-0355	text=\u{903}\u{200D}	boundaries=0,6
unicode-0356	text=\u{903}\u{308}\u{200D}	boundaries=0,8
unicode-0357	text=\u{903}\u{1F1E6}	boundaries=0,3,7
unicode-0358	text=\u{903}\u{308}\u{1F1E6}	boundaries=0,5,9
unicode-0359	text=\u{903}\u{6DD}	boundaries=0,3,5
unicode-0360	text=\u{903}\u{308}\u{6DD}	boundaries=0,5,7
unicode-0361	text=\u{903}\u{903}	boundaries=0,6
unicode-0362	text=\u{903}\u{308}\u{903}	boundaries=0,8
unicode-0363	text=\u{903}\u{1100}	boundaries=0,3,6
unicode-0364	text=\u{903}\u{308}\u{1100}	boundaries=0,5,8
unicode-0365	text=\u{903}\u{1160}	boundaries=0,3,6
unicode-0366	text=\u{903}\u{308}\u{1160}	boundaries=0,5,8
unicode-0367	text=\u{903}\u{11A8}	boundaries=0,3,6
unicode-0368	text=\u{903}\u{308}\u{11A8}	boundaries=0,5,8
unicode-0369	text=\u{903}\u{AC00}	boundaries=0,3,6
unicode-0370	text=\u{903}\u{308}\u{AC00}	boundaries=0,5,8
unicode-0371	text=\u{903}\u{AC01}	boundaries=0,3,6
unicode-0372	text=\u{903}\u{308}\u{AC01}	boundaries=0,5,8
unicode-0373	text=\u{903}\u{915}	boundaries=0,3,6
unicode-0374	text=\u{903}\u{308}\u{915}	boundaries=0,5,8
unicode-0375	text=\u{903}\u{A9}	boundaries=0,3,5
unicode-0376	text=\u{903}\u{308}\u{A9}	boundaries=0,5,7
unicode-0377	text=\u{903}\u{20}	boundaries=0,3,4
unicode-0378	text=\u{903}\u{308}\u{20}	boundaries=0,5,6
unicode-0379	text=\u{903}\u{378}	boundaries=0,3,5
unicode-0380	text=\u{903}\u{308}\u{378}	boundaries=0,5,7
unicode-0381	text=\u{1100}\u{D}	boundaries=0,3,4
unicode-0382	text=\u{1100}\u{308}\u{D}	boundaries=0,5,6
unicode-0383	text=\u{1100}\u{A}	boundaries=0,3,4
unicode-0384	text=\u{1100}\u{308}\u{A}	boundaries=0,5,6
unicode-0385	text=\u{1100}\u{0}	boundaries=0,3,4
unicode-0386	text=\u{1100}\u{308}\u{0}	boundaries=0,5,6
unicode-0387	text=\u{1100}\u{94D}	boundaries=0,6
unicode-0388	text=\u{1100}\u{308}\u{94D}	boundaries=0,8
unicode-0389	text=\u{1100}\u{300}	boundaries=0,5
unicode-0390	text=\u{1100}\u{308}\u{300}	boundaries=0,7
unicode-0391	text=\u{1100}\u{200C}	boundaries=0,6
unicode-0392	text=\u{1100}\u{308}\u{200C}	boundaries=0,8
unicode-0393	text=\u{1100}\u{200D}	boundaries=0,6
unicode-0394	text=\u{1100}\u{308}\u{200D}	boundaries=0,8
